directive,content,robotstxt_last_modified,robotstxt_url,download_date,Modified_Date,Modified_Time,Download_Date,Download_Time,scheme,netloc,path
comment,This is the robots.txt for autotrader.co.uk,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,_                                ___________                     _,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,//////////  / \                              |____   ____|                   | |,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,///////////  / _ \       _    _    _        ____    | |   _       ____      ___| |   ____    _,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,////////////  / /_\ \     | |  | |  / \__    /    \   | |  | \__   /    \    /     |  /  _ \  | \___,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,/ _____ \    | |  | | |   _/   |  /\  |  | |  |  __/ |  /\  |  |  /\  | |  [_] \ |  __/,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,////////////  / /     \ \   | |  | |  | |     | |  | |  | |  | |    | |  | |  | |  | | |  ____| | |,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,///////////   / /       \ \  |  \/  |  | |__/\ |  \/  |  | |  | |    |  \/ _ \ |  \/  | |  \____ | |,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,//////////    /_/         \_\  \____/   \_____/  \____/   |_|  |_|     \___/ \/  \___/\/  \_____/ |_|,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,========================================================================================================,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,|         Auto Trader are hiring - Check out our jobs at https://careers.autotrader.co.uk/jobs         |,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,========================================================================================================,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
User-agent,Mediapartners-Google,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
